person_born,person_name
1964,Keanu Reeves
1967,Carrie-Anne Moss
1961,Laurence Fishburne
1960,Hugo Weaving
1967,Andy Wachowski
1965,Lana Wachowski
1952,Joel Silver
1978,Emil Eifrem
1975,Charlize Theron
1940,Al Pacino
1944,Taylor Hackford
1962,Tom Cruise
1937,Jack Nicholson
1962,Demi Moore
1958,Kevin Bacon
1966,Kiefer Sutherland
1971,Noah Wyle
1968,Cuba Gooding Jr.
1957,Kevin Pollak
1943,J.T. Walsh
1967,James Marshall
1948,Christopher Guest
1947,Rob Reiner
1961,Aaron Sorkin
1957,Kelly McGillis
1959,Val Kilmer
1962,Anthony Edwards
1933,Tom Skerritt
1961,Meg Ryan
1944,Tony Scott
1941,Jim Cash
1969,Renee Zellweger
1962,Kelly Preston
1974,Jerry O'Connell
1970,Jay Mohr
1961,Bonnie Hunt
1971,Regina King
1996,Jonathan Lipnicki
1957,Cameron Crowe
1970,River Phoenix
1971,Corey Feldman
1972,Wil Wheaton
1966,John Cusack
1942,Marshall Bell
1963,Helen Hunt
1963,Greg Kinnear
1940,James L. Brooks
1960,Annabella Sciorra
1929,Max von Sydow
1942,Werner Herzog
1951,Robin Williams
1956,Vincent Ward
1970,Ethan Hawke
1971,Rick Yune
1940,James Cromwell
1953,Scott Hicks
1968,Parker Posey
1973,Dave Chappelle
1967,Steve Zahn
1956,Tom Hanks
1941,Nora Ephron
1956,Rita Wilson
1953,Bill Pullman
1949,Victor Garber
1962,Rosie O'Donnell
1950,John Patrick Stanley
1956,Nathan Lane
1948,Billy Crystal
1956,Carrie Fisher
1949,Bruno Kirby
1977,Liv Tyler
1970,Brooke Langton
1930,Gene Hackman
1968,Orlando Jones
1950,Howard Deutch
1974,Christian Bale
1954,Zach Grenier
1931,Mike Nichols
1930,Richard Harris
1930,Clint Eastwood
1947,Takeshi Kitano
1968,Dina Meyer
1958,Ice-T
1953,Robert Longo
1966,Halle Berry
1949,Jim Broadbent
1965,Tom Tykwer
1939,Ian McKellen
1976,Audrey Tautou
1971,Paul Bettany
1954,Ron Howard
1981,Natalie Portman
1946,Stephen Rea
1940,John Hurt
1967,Ben Miles
1985,Emile Hirsch
1960,John Goodman
1946,Susan Sarandon
1966,Matthew Fox
1980,Christina Ricci
1982,Rain
null,Naomie Harris
1957,Michael Clarke Duncan
1953,David Morse
1968,Sam Rockwell
1955,Gary Sinise
1959,Patricia Clarkson
1959,Frank Darabont
1938,Frank Langella
1969,Michael Sheen
1960,Oliver Platt
1944,Danny DeVito
1965,John C. Reilly
1950,Ed Harris
1955,Bill Paxton
1967,Philip Seymour Hoffman
1943,Jan de Bont
1951,Robert Zemeckis
1932,Milos Forman
1946,Diane Keaton
1949,Nancy Meyers
1958,Chris Columbus
1967,Julia Roberts
1954,Madonna
1956,Geena Davis
1963,Lori Petty
1943,Penny Marshall
null,Paul Blythe
null,Angela Scope
null,Jessica Thompson
null,James Thompson
null,Kang-ho Song
null,Sun-kyun Lee
null,Yeo-jeong Jo
null,Woo-sik Choi
null,So-dam Park
null,Joaquin Phoenix
null,Robert De Niro
null,Zazie Beetz